date,track,hhmm,category_raw,category_norm,dog_name,strategy_tag,stake
2026-01-17,Central Park,18:10,A,A,Ballymac Axel,BACK,1.0
2026-01-17,Central Park,18:10,A,A,Watcha Gotcookin,BACK,1.0
2026-01-17,Central Park,18:10,A,A,Hasty Lottie,BACK,1.0
2026-01-17,Central Park,18:30,A,A,The Other Winx,BACK,1.0
2026-01-17,Central Park,18:30,A,A,Bluejig Outlaw,BACK,1.0
2026-01-17,Central Park,18:30,A,A,Sportsmans Rosa,BACK,1.0
2026-01-17,Central Park,18:50,A,A,Fastlane Hoffa,BACK,1.0
2026-01-17,Central Park,18:50,A,A,Pro Parker,BACK,1.0
2026-01-17,Central Park,18:50,A,A,Hollybanks,BACK,1.0
2026-01-17,Central Park,19:10,A,A,Mongys Wild,BACK,1.0
2026-01-17,Central Park,19:10,A,A,Ballymac Madgie,BACK,1.0
2026-01-17,Central Park,19:10,A,A,Deadly Disco,BACK,1.0
2026-01-17,Central Park,19:30,A,A,Romeo Empire,BACK,1.0
2026-01-17,Central Park,19:30,A,A,Crafty Prospero,BACK,1.0
2026-01-17,Central Park,19:30,A,A,Princess Matilda,BACK,1.0
2026-01-17,Central Park,19:50,A,A,Droopys Softy,BACK,1.0
2026-01-17,Central Park,19:50,A,A,Havana Esesque,BACK,1.0
2026-01-17,Central Park,19:50,A,A,Ferryforth Ella,BACK,1.0
2026-01-17,Central Park,20:10,A,A,Bluejig Baron,BACK,1.0
2026-01-17,Central Park,20:10,A,A,Lets Go Johnny,BACK,1.0
2026-01-17,Central Park,20:10,A,A,Heygood Lookin,BACK,1.0
2026-01-17,Central Park,20:30,A,A,One More Tune,BACK,1.0
2026-01-17,Central Park,20:30,A,A,Good Rainbow,BACK,1.0
2026-01-17,Central Park,20:30,A,A,Harlequin Taluka,BACK,1.0
2026-01-17,Central Park,20:50,A,A,Yahoo Megan,BACK,1.0
2026-01-17,Central Park,20:50,A,A,Sevenofdiamonds,BACK,1.0
2026-01-17,Central Park,20:50,A,A,Cinderella Tell,BACK,1.0
2026-01-17,Central Park,21:10,A,A,Snowdon Mel,BACK,1.0
2026-01-17,Central Park,21:10,A,A,Droopys Bafta,BACK,1.0
2026-01-17,Central Park,21:10,A,A,Autumn Fleadh,BACK,1.0
2026-01-17,Central Park,21:30,A,A,Lets Go Girl,BACK,1.0
2026-01-17,Central Park,21:30,A,A,Half Jarred,BACK,1.0
2026-01-17,Central Park,21:30,A,A,Slick Skylark,BACK,1.0
2026-01-17,Hove,18:06,A,A,Seomra Power,BACK,1.0
2026-01-17,Hove,18:06,A,A,Pocket Hollie,BACK,1.0
2026-01-17,Hove,18:06,A,A,My Tiny Trainer,BACK,1.0
2026-01-17,Hove,18:26,A,A,Kerrs Delilah,BACK,1.0
2026-01-17,Hove,18:26,A,A,Sly Bluebird,BACK,1.0
2026-01-17,Hove,18:26,A,A,Jesse Gee James,BACK,1.0
2026-01-17,Hove,18:46,A,A,Punk Rock Thief,BACK,1.0
2026-01-17,Hove,18:46,A,A,Pips Gamble,BACK,1.0
2026-01-17,Hove,18:46,A,A,We Are Leeds,BACK,1.0
2026-01-17,Hove,19:06,A,A,Bingo Bullet,BACK,1.0
2026-01-17,Hove,19:06,A,A,Farmway Shady,BACK,1.0
2026-01-17,Hove,19:06,A,A,The Hill,BACK,1.0
2026-01-17,Hove,19:26,A,A,Tivoli Milo,BACK,1.0
2026-01-17,Hove,19:26,A,A,Teddys Sister,BACK,1.0
2026-01-17,Hove,19:26,A,A,Slick Mick,BACK,1.0
2026-01-17,Hove,19:46,A,A,Swift Chuck,BACK,1.0
2026-01-17,Hove,19:46,A,A,Daring Duchess,BACK,1.0
2026-01-17,Hove,19:46,A,A,Fauna Rae,BACK,1.0
2026-01-17,Hove,20:06,A,A,Airlie Coogee,BACK,1.0
2026-01-17,Hove,20:06,A,A,Galliagh Sky,BACK,1.0
2026-01-17,Hove,20:06,A,A,Antigua Belle,BACK,1.0
2026-01-17,Hove,20:26,A,A,Hypershock,BACK,1.0
2026-01-17,Hove,20:26,A,A,Lets Go Yankees,BACK,1.0
2026-01-17,Hove,20:26,A,A,Barley Mo,BACK,1.0
2026-01-17,Hove,20:46,A,A,Streets Of Bono,BACK,1.0
2026-01-17,Hove,20:46,A,A,Romantic Richy,BACK,1.0
2026-01-17,Hove,20:46,A,A,Harlequin Windy,BACK,1.0
2026-01-17,Hove,21:06,A,A,Radical Kylian,BACK,1.0
2026-01-17,Hove,21:06,A,A,Kanturk Tony,BACK,1.0
2026-01-17,Hove,21:06,A,A,Mertonaby Lad,BACK,1.0
2026-01-17,Hove,21:26,A,A,Farout Cian,BACK,1.0
2026-01-17,Hove,21:26,A,A,Mob De Souza,BACK,1.0
2026-01-17,Hove,21:26,A,A,Attractionone,BACK,1.0
2026-01-17,Hove,21:46,A,A,Droopys Lara,BACK,1.0
2026-01-17,Hove,21:46,A,A,Snazzy Mary,BACK,1.0
2026-01-17,Hove,21:46,A,A,Harlequin Libby,BACK,1.0
2026-01-17,Monmore,18:14,A,A,Peejaythedeejay,BACK,1.0
2026-01-17,Monmore,18:14,A,A,Relentless I Am,BACK,1.0
2026-01-17,Monmore,18:14,A,A,Droopys Jessy,BACK,1.0
2026-01-17,Monmore,18:34,A,A,Confident Ruby,BACK,1.0
2026-01-17,Monmore,18:34,A,A,Aero Peart,BACK,1.0
2026-01-17,Monmore,18:34,A,A,Whyaye Dubai,BACK,1.0
2026-01-17,Monmore,18:54,A,A,Ayle Bucks,BACK,1.0
2026-01-17,Monmore,18:54,A,A,Newinn Georgia,BACK,1.0
2026-01-17,Monmore,18:54,A,A,Kilara Jag,BACK,1.0
2026-01-17,Monmore,19:14,A,A,Aero Chubby,BACK,1.0
2026-01-17,Monmore,19:14,A,A,Holding Gina,BACK,1.0
2026-01-17,Monmore,19:14,A,A,Uphill Morsey,BACK,1.0
2026-01-17,Monmore,19:34,A,A,Tullymurry Troy,BACK,1.0
2026-01-17,Monmore,19:34,A,A,Bandit Paddy,BACK,1.0
2026-01-17,Monmore,19:34,A,A,Hitit Agendavy,BACK,1.0
2026-01-17,Monmore,19:54,A,A,Zenith Fotospor,BACK,1.0
2026-01-17,Monmore,19:54,A,A,Longacres Cash,BACK,1.0
2026-01-17,Monmore,19:54,A,A,Tree Top Copper,BACK,1.0
2026-01-17,Monmore,20:14,A,A,Noduff Golf,BACK,1.0
2026-01-17,Monmore,20:14,A,A,Longacres Shotta,BACK,1.0
2026-01-17,Monmore,20:14,A,A,Without Wings,BACK,1.0
2026-01-17,Monmore,20:34,A,A,Duchess,BACK,1.0
2026-01-17,Monmore,20:34,A,A,Amazing Heather,BACK,1.0
2026-01-17,Monmore,20:34,A,A,Suave Lily,BACK,1.0
2026-01-17,Monmore,20:54,A,A,Photo Package,BACK,1.0
2026-01-17,Monmore,20:54,A,A,Winnie Marie,BACK,1.0
2026-01-17,Monmore,20:54,A,A,Mustang General,BACK,1.0
2026-01-17,Monmore,21:14,A,A,Vixons Matt,BACK,1.0
2026-01-17,Monmore,21:14,A,A,Droopys Admirer,BACK,1.0
2026-01-17,Monmore,21:14,A,A,Sugar Girl Katie,BACK,1.0
2026-01-17,Monmore,21:34,A,A,Cazzers Lass,BACK,1.0
2026-01-17,Monmore,21:34,A,A,Bangon Erika,BACK,1.0
2026-01-17,Monmore,21:34,A,A,Bounceback Bucks,BACK,1.0
2026-01-17,Monmore,21:50,A,A,Aero Penda,BACK,1.0
2026-01-17,Monmore,21:50,A,A,Swift Zoo,BACK,1.0
2026-01-17,Monmore,21:50,A,A,Got The Large,BACK,1.0
2026-01-17,Dunstall Park,18:20,A,A,Lemon Yoli,BACK,1.0
2026-01-17,Dunstall Park,18:20,A,A,Point Break,BACK,1.0
2026-01-17,Dunstall Park,18:20,A,A,Halcrow Saltire,BACK,1.0
2026-01-17,Dunstall Park,18:38,A,A,Dadurunrun,BACK,1.0
2026-01-17,Dunstall Park,18:38,A,A,Lynnia Max,BACK,1.0
2026-01-17,Dunstall Park,18:38,A,A,King Richie,BACK,1.0
2026-01-17,Dunstall Park,18:58,A,A,Amys Star,BACK,1.0
2026-01-17,Dunstall Park,18:58,A,A,Swift Wag,BACK,1.0
2026-01-17,Dunstall Park,18:58,A,A,Moanteen Molly,BACK,1.0
2026-01-17,Dunstall Park,19:18,A,A,Mohican Lisa,BACK,1.0
2026-01-17,Dunstall Park,19:18,A,A,Haka Luigi,BACK,1.0
2026-01-17,Dunstall Park,19:18,A,A,Amazing Pixie,BACK,1.0
2026-01-17,Dunstall Park,19:38,A,A,Crokers Bic,BACK,1.0
2026-01-17,Dunstall Park,19:38,A,A,Moneypoint Wiljo,BACK,1.0
2026-01-17,Dunstall Park,19:38,A,A,Jab And Run,BACK,1.0
2026-01-17,Dunstall Park,19:58,A,A,Distant Maggie,BACK,1.0
2026-01-17,Dunstall Park,19:58,A,A,Loveland,BACK,1.0
2026-01-17,Dunstall Park,19:58,A,A,Ballymac Og,BACK,1.0
2026-01-17,Dunstall Park,20:18,A,A,Ceejay Sparkle,BACK,1.0
2026-01-17,Dunstall Park,20:18,A,A,Shortwood Design,BACK,1.0
2026-01-17,Dunstall Park,20:18,A,A,Got One Better,BACK,1.0
2026-01-17,Dunstall Park,20:38,A,A,Heathmill Nidge,BACK,1.0
2026-01-17,Dunstall Park,20:38,A,A,Signet Maisie,BACK,1.0
2026-01-17,Dunstall Park,20:38,A,A,Cappaneale Rocky,BACK,1.0
2026-01-17,Dunstall Park,20:58,A,A,Swift Ida,BACK,1.0
2026-01-17,Dunstall Park,20:58,A,A,Burrow Puma,BACK,1.0
2026-01-17,Dunstall Park,20:58,A,A,Kelseys Angel,BACK,1.0
2026-01-17,Dunstall Park,21:18,A,A,Mercia Thor,BACK,1.0
2026-01-17,Dunstall Park,21:18,A,A,Distant Pablo,BACK,1.0
2026-01-17,Dunstall Park,21:18,A,A,Ridgedale Zuni,BACK,1.0
2026-01-17,Dunstall Park,21:38,A,A,Shockwave Suhail,BACK,1.0
2026-01-17,Dunstall Park,21:38,A,A,Mohican Lucy,BACK,1.0
2026-01-17,Dunstall Park,21:38,A,A,Limekiln Pam,BACK,1.0
2026-01-17,Dunstall Park,21:54,A,A,Pandemonium Blue,BACK,1.0
2026-01-17,Dunstall Park,21:54,A,A,Blazeaway Jorge,BACK,1.0
2026-01-17,Dunstall Park,21:54,A,A,Darley Pope,BACK,1.0
2026-01-17,Romford,18:42,A,A,Rapido Jane,BACK,1.0
2026-01-17,Romford,18:42,A,A,Stonepark Susie,BACK,1.0
2026-01-17,Romford,18:42,A,A,Knockdrinna Lass,BACK,1.0
2026-01-17,Romford,19:02,A,A,Maxgrove Diamond,BACK,1.0
2026-01-17,Romford,19:02,A,A,Hollywood Paso,BACK,1.0
2026-01-17,Romford,19:02,A,A,Jeopardy Venus,BACK,1.0
2026-01-17,Romford,19:22,A,A,Da Young Lad,BACK,1.0
2026-01-17,Romford,19:22,A,A,Underground Zeus,BACK,1.0
2026-01-17,Romford,19:22,A,A,El Regreso,BACK,1.0
2026-01-17,Romford,19:42,A,A,Olwinn Swift,BACK,1.0
2026-01-17,Romford,19:42,A,A,Miami Diversity,BACK,1.0
2026-01-17,Romford,19:42,A,A,Crohane Topaz,BACK,1.0
2026-01-17,Romford,20:02,A,A,Urry Up Nicky,BACK,1.0
2026-01-17,Romford,20:02,A,A,Crossfield Becca,BACK,1.0
2026-01-17,Romford,20:02,A,A,Mr Molesley,BACK,1.0
2026-01-17,Romford,20:22,A,A,Queen Libianca,BACK,1.0
2026-01-17,Romford,20:22,A,A,Little Gael,BACK,1.0
2026-01-17,Romford,20:22,A,A,Bensourboy,BACK,1.0
2026-01-17,Romford,20:42,A,A,Distant Rover,BACK,1.0
2026-01-17,Romford,20:42,A,A,Bubbly Amber,BACK,1.0
2026-01-17,Romford,20:42,A,A,Droopys Swanky,BACK,1.0
2026-01-17,Romford,21:02,A,A,Smelly Nellie,BACK,1.0
2026-01-17,Romford,21:02,A,A,Blackrose Bond,BACK,1.0
2026-01-17,Romford,21:02,A,A,Pricey Emma,BACK,1.0
2026-01-17,Romford,21:22,A,A,Mollycoddle,BACK,1.0
2026-01-17,Romford,21:22,A,A,Miss Manage,BACK,1.0
2026-01-17,Romford,21:22,A,A,Newtown Anna,BACK,1.0
2026-01-17,Romford,21:42,A,A,Goulane Vegas,BACK,1.0
2026-01-17,Romford,21:42,A,A,Bubbly Queenie,BACK,1.0
2026-01-17,Romford,21:42,A,A,Hollywood Samba,BACK,1.0
2026-01-17,Romford,21:58,A,A,Tip Top Niamh,BACK,1.0
2026-01-17,Romford,21:58,A,A,Crossfield Amy,BACK,1.0
2026-01-17,Romford,21:58,A,A,Jeopardy Raven,BACK,1.0
2026-01-17,Romford,22:20,A,A,Siomhas Princess,BACK,1.0
2026-01-17,Romford,22:20,A,A,Bubbly Thunder,BACK,1.0
2026-01-17,Romford,22:20,A,A,Bombay Buck,BACK,1.0
2026-01-17,Oxford,18:04,A,A,Savana Ripple,BACK,1.0
2026-01-17,Oxford,18:04,A,A,Millbank Queenie,BACK,1.0
2026-01-17,Oxford,18:04,A,A,Alohas Rascal,BACK,1.0
2026-01-17,Oxford,18:21,A,A,All Long,BACK,1.0
2026-01-17,Oxford,18:21,A,A,Silvertown Blues,BACK,1.0
2026-01-17,Oxford,18:21,A,A,Ballymac Dashel,BACK,1.0
2026-01-17,Oxford,18:39,A,A,Pauls Opinion,BACK,1.0
2026-01-17,Oxford,18:39,A,A,Footfield Stitch,BACK,1.0
2026-01-17,Oxford,18:39,A,A,Springwood Kane,BACK,1.0
2026-01-17,Oxford,18:56,A,A,Gert Lush,BACK,1.0
2026-01-17,Oxford,18:56,A,A,Baggios Nikita,BACK,1.0
2026-01-17,Oxford,18:56,A,A,Savana Maggiemay,BACK,1.0
2026-01-17,Oxford,19:14,A,A,Bristol Lad,BACK,1.0
2026-01-17,Oxford,19:14,A,A,Ballydoyle Boo,BACK,1.0
2026-01-17,Oxford,19:14,A,A,Maree Master,BACK,1.0
2026-01-17,Oxford,19:31,A,A,Ballymac Lez,BACK,1.0
2026-01-17,Oxford,19:31,A,A,Ballymac Mags,BACK,1.0
2026-01-17,Oxford,19:31,A,A,Drews Fantasy,BACK,1.0
2026-01-17,Oxford,19:51,A,A,Savana Sparky,BACK,1.0
2026-01-17,Oxford,19:51,A,A,Savana Rip,BACK,1.0
2026-01-17,Oxford,19:51,A,A,Hoxton Star,BACK,1.0
2026-01-17,Oxford,20:09,A,A,Corcass Honey,BACK,1.0
2026-01-17,Oxford,20:09,A,A,Hiya Blackie,BACK,1.0
2026-01-17,Oxford,20:09,A,A,Savana Marylou,BACK,1.0
2026-01-17,Oxford,20:26,A,A,Ballymac Indo,BACK,1.0
