date,track,hhmm,category_raw,category_norm,dog_1,dog_2,dog_3
2026-01-17,Newcastle,18:00,R12,R12,nan,nan,nan
2026-01-17,Central Park,18:10,A,A,Ballymac Axel,Hasty Lottie,Watcha Gotcookin
2026-01-17,Central Park,18:30,A,A,The Other Winx,Bluejig Outlaw,Droopys Samara
2026-01-17,Central Park,18:50,A,A,Fastlane Hoffa,Pro Parker,Hollybanks
2026-01-17,Central Park,19:10,A,A,Deadly Disco,Mongys Wild,Ballymac Madgie
2026-01-17,Central Park,19:30,A,A,Princess Matilda,Crafty Prospero,Romeo Empire
2026-01-17,Central Park,19:50,A,A,Droopys Softy,Havana Esesque,Ferryforth Ella
2026-01-17,Central Park,20:10,A,A,Lets Go Johnny,Bluejig Baron,Droopys Topnotch
2026-01-17,Central Park,20:30,A,A,One More Tune,Good Rainbow,Harlequin Taluka
2026-01-17,Central Park,20:50,A,A,Yahoo Megan,Sevenofdiamonds,Cinderella Tell
2026-01-17,Central Park,21:10,A,A,Snowdon Mel,Autumn Fleadh,Droopys Bafta
2026-01-17,Central Park,21:30,A,A,Lets Go Girl,Half Jarred,Slick Skylark
2026-01-17,Hove,18:06,A,A,Seomra Power,Pocket Hollie,Melbury Curly
2026-01-17,Hove,18:26,A,A,Kerrs Delilah,Sly Bluebird,Jesse Gee James
2026-01-17,Hove,18:46,A,A,Pips Gamble,Punk Rock Thief,Digbys Maverick
2026-01-17,Hove,19:06,A,A,Bingo Bullet,Farmway Shady,Ballydoyle Toby
2026-01-17,Hove,19:26,A,A,Tivoli Milo,Teddys Sister,Slick Mick
2026-01-17,Hove,19:46,A,A,Swift Chuck,Daring Duchess,Fauna Rae
2026-01-17,Hove,20:06,A,A,Airlie Coogee,Galliagh Sky,Antigua Belle
2026-01-17,Hove,20:26,A,A,Hypershock,Lets Go Yankees,Barley Mo
2026-01-17,Hove,20:46,A,A,Streets Of Bono,Harlequin Windy,Romantic Richy
2026-01-17,Hove,21:06,A,A,Radical Kylian,Mertonaby Lad,Kanturk Tony
2026-01-17,Hove,21:26,A,A,Farout Cian,Attractionone,Mob De Souza
2026-01-17,Hove,21:46,A,A,Droopys Lara,Snazzy Mary,Im Justa Pealing
2026-01-17,Monmore,18:14,A,A,Peejaythedeejay,Droopys Jessy,Relentless I Am
2026-01-17,Monmore,18:34,A,A,Confident Ruby,Whyaye Dubai,Aero Peart
2026-01-17,Monmore,18:54,A,A,Ayle Bucks,Newinn Georgia,Aero Haraka
2026-01-17,Monmore,19:14,A,A,Aero Chubby,Holding Gina,Wilma Rudolph
2026-01-17,Monmore,19:34,A,A,Tullymurry Troy,Hitit Agendavy,Bandit Paddy
2026-01-17,Monmore,19:54,A,A,Zenith Fotospor,Tree Top Copper,Longacres Cash
2026-01-17,Monmore,20:14,A,A,Noduff Golf,Longacres Shotta,Without Wings
2026-01-17,Monmore,20:34,A,A,Duchess,Amazing Heather,Suave Lily
2026-01-17,Monmore,20:54,A,A,Photo Package,Mustang General,Winnie Marie
2026-01-17,Monmore,21:14,A,A,Droopys Admirer,Sugar Girl Katie,Vixons Matt
2026-01-17,Monmore,21:34,A,A,Cazzers Lass,Bounceback Bucks,Bangon Erika
2026-01-17,Monmore,21:50,A,A,Aero Penda,Swift Zoo,Got The Large
2026-01-17,Dunstall Park,18:20,A,A,Lemon Yoli,Point Break,nan
2026-01-17,Dunstall Park,18:38,A,A,Dadurunrun,Lynnia Max,Strictly Rosey
2026-01-17,Dunstall Park,18:58,A,A,Amys Star,Moanteen Molly,Swift Wag
2026-01-17,Dunstall Park,19:18,A,A,Mohican Lisa,Haka Luigi,Amazing Pixie
2026-01-17,Dunstall Park,19:38,A,A,Crokers Bic,Moneypoint Wiljo,Jab And Run
2026-01-17,Dunstall Park,19:58,A,A,Distant Maggie,Loveland,Ballymac Og
2026-01-17,Dunstall Park,20:18,A,A,Ceejay Sparkle,Shortwood Design,Ace Impact
2026-01-17,Dunstall Park,20:38,A,A,Heathmill Nidge,Signet Maisie,Cappaneale Rocky
2026-01-17,Dunstall Park,20:58,A,A,Swift Ida,Burrow Puma,Kelseys Angel
2026-01-17,Dunstall Park,21:18,A,A,Mercia Thor,Distant Pablo,Ridgedale Zuni
2026-01-17,Dunstall Park,21:38,A,A,Shockwave Suhail,Mohican Lucy,Limekiln Pam
2026-01-17,Dunstall Park,21:54,A,A,Blazeaway Jorge,Pandemonium Blue,Darley Pope
2026-01-17,Romford,18:42,A,A,Rapido Jane,Stonepark Susie,Knockdrinna Lass
2026-01-17,Romford,19:02,A,A,Maxgrove Diamond,Jeopardy Venus,Hollywood Paso
2026-01-17,Romford,19:22,A,A,Da Young Lad,Underground Zeus,El Regreso
2026-01-17,Romford,19:42,A,A,Olwinn Swift,Miami Diversity,Crohane Topaz
2026-01-17,Romford,20:02,A,A,Urry Up Nicky,Mr Molesley,Crossfield Becca
2026-01-17,Romford,20:22,A,A,Queen Libianca,Little Gael,Hollywood Vegas
2026-01-17,Romford,20:42,A,A,Bubbly Amber,Distant Rover,Alan The First
2026-01-17,Romford,21:02,A,A,Smelly Nellie,Pricey Emma,Blackrose Bond
2026-01-17,Romford,21:22,A,A,Mollycoddle,Miss Manage,Newtown Anna
2026-01-17,Romford,21:42,A,A,Goulane Vegas,Bubbly Queenie,Skylars Dream
2026-01-17,Romford,21:58,A,A,Tip Top Niamh,Crossfield Amy,Jeopardy Raven
2026-01-17,Romford,22:20,A,A,Bombay Buck,Siomhas Princess,Bubbly Thunder
2026-01-17,Oxford,18:04,A,A,Savana Ripple,Alohas Rascal,Savana Shady
2026-01-17,Oxford,18:21,A,A,All Long,Silvertown Blues,Ballymac Dashel
2026-01-17,Oxford,18:39,A,A,Pauls Opinion,Footfield Stitch,Savana Imogen
2026-01-17,Oxford,18:56,A,A,Gert Lush,Baggios Nikita,Savana Maggiemay
2026-01-17,Oxford,19:14,A,A,Bristol Lad,Ballydoyle Boo,Maree Master
2026-01-17,Oxford,19:31,A,A,Ballymac Lez,Ballymac Mags,Drews Fantasy
2026-01-17,Oxford,19:51,A,A,Savana Sparky,Savana Rip,Savanawinnimarie
2026-01-17,Oxford,20:09,A,A,Savana Marylou,Corcass Honey,Savana Monica
2026-01-17,Oxford,20:26,A,A,Ballymac Indo,Showemyourtail,Jazzy Vibe
2026-01-17,Oxford,20:43,A,A,Classic Waltz,Ma Baker,Ballymac Shelly
2026-01-17,Oxford,21:01,A,A,Mylane Curly,Spot On Amethyst,Savana Ohmy Jo
2026-01-17,Oxford,21:18,A,A,Savana Sakari,Savana Boycie,Jurassic Joker
2026-01-17,Doncaster,18:11,A,A,Royal Flush,Emers Jazzy,Missyoulikecrazy
2026-01-17,Doncaster,18:29,A,A,Ballymac Alexis,Cockney Summer,Stoneparkfortune
2026-01-17,Doncaster,18:46,A,A,Roundies Shadow,Abigails Sunny,Grouchos Emily
