date,track,track_key,hhmm,race_time_iso,category_raw,category_norm,TimeformTop1,TimeformTop2,TimeformTop3,Forecast1,Forecast2,Forecast3,Forecast1Odds,Forecast2Odds,Forecast3Odds
2026-01-17,Newcastle,Newcastle,18:00,2026-01-17T18:00,R12,R12,,,,,,,,,
2026-01-17,Central Park,Central Park,18:10,2026-01-17T18:10,A,A,Ballymac Axel,Hasty Lottie,Watcha Gotcookin,Ballymac Axel,Watcha Gotcookin,Hasty Lottie,3.2,4.33,4.5
2026-01-17,Central Park,Central Park,18:30,2026-01-17T18:30,A,A,The Other Winx,Bluejig Outlaw,Droopys Samara,The Other Winx,Bluejig Outlaw,Sportsmans Rosa,2.88,2.88,6.0
2026-01-17,Central Park,Central Park,18:50,2026-01-17T18:50,A,A,Fastlane Hoffa,Pro Parker,Hollybanks,Fastlane Hoffa,Pro Parker,Hollybanks,2.5,3.2,5.0
2026-01-17,Central Park,Central Park,19:10,2026-01-17T19:10,A,A,Deadly Disco,Mongys Wild,Ballymac Madgie,Mongys Wild,Ballymac Madgie,Deadly Disco,1.83,5.5,6.0
2026-01-17,Central Park,Central Park,19:30,2026-01-17T19:30,A,A,Princess Matilda,Crafty Prospero,Romeo Empire,Romeo Empire,Crafty Prospero,Princess Matilda,2.2,2.88,3.0
2026-01-17,Central Park,Central Park,19:50,2026-01-17T19:50,A,A,Droopys Softy,Havana Esesque,Ferryforth Ella,Droopys Softy,Havana Esesque,Ferryforth Ella,3.0,3.75,4.5
2026-01-17,Central Park,Central Park,20:10,2026-01-17T20:10,A,A,Lets Go Johnny,Bluejig Baron,Droopys Topnotch,Bluejig Baron,Lets Go Johnny,Heygood Lookin,1.33,4.33,8.0
2026-01-17,Central Park,Central Park,20:30,2026-01-17T20:30,A,A,One More Tune,Good Rainbow,Harlequin Taluka,One More Tune,Good Rainbow,Harlequin Taluka,3.0,3.75,5.0
2026-01-17,Central Park,Central Park,20:50,2026-01-17T20:50,A,A,Yahoo Megan,Sevenofdiamonds,Cinderella Tell,Yahoo Megan,Sevenofdiamonds,Cinderella Tell,1.83,5.0,6.0
