track_name,race_time_iso,category_raw,category_norm,TimeformTop1,TimeformTop2,TimeformTop3
Romford,2026-01-17T14:14,A,A,Roxys Devil,Fagans Damsel,Young Kerry
Monmore,2026-01-17T14:07,A,A,Crossfield Milo,Pippy Longsocks,El Barno Blitz
Yarmouth,2026-01-17T14:18,A,A,Shanahee Monty,Carrigoon Nell,Crypto Kidd
Yarmouth,2026-01-17T14:38,A,A,Table Talk,Murrow Krakatoa,Explosive Queen
Yarmouth,2026-01-17T14:58,A,A,Rockmount Dale,Air Mix,Gossip Kid
Yarmouth,2026-01-17T15:18,A,A,Harlequin Zapper,Kilcash Happy,Kellsboro Coco
Yarmouth,2026-01-17T15:38,A,A,Bish Bosh Bashy,Ballygloss Maxie,Lemon Charlie
Yarmouth,2026-01-17T15:58,A,A,Deelish Lassie,Papa Roy,Isla Bonita
Yarmouth,2026-01-17T16:18,A,A,Bankrobber,Made Of Stone,Glenrock Jet
Yarmouth,2026-01-17T16:38,A,A,Murrow Catatumbo,Caister Kay,Alberts Mary
Yarmouth,2026-01-17T16:58,A,A,Galinism,Lady Wright,Beatrix Kiddo
Yarmouth,2026-01-17T17:18,A,A,Flashing Fender,Laugh Alot,Swift Depot
Newcastle,2026-01-17T14:28,A,A,Coolavanny Lucas,Swift Uni,Midas Miguel
Newcastle,2026-01-17T14:48,A,A,Alnwick Wizard,Fabulous Mira,Brickkiln Matty
Newcastle,2026-01-17T15:08,A,A,Thats Us Now,Fine By Me,Bramble Revel
Newcastle,2026-01-17T15:28,A,A,Inca Lexie,Quivers Rolex,Alnwick Teeny
Newcastle,2026-01-17T15:48,A,A,Daunting Task,Canny Orla,Wraysbury Wisp
Newcastle,2026-01-17T16:08,A,A,Tinnock Stellar,Romantic Madam,Simpson Rhian
Newcastle,2026-01-17T16:28,A,A,Emers Biddy,Swift Kylie,Alnwick Helen
Newcastle,2026-01-17T16:48,A,A,Coppice Saphire,Jackos Bono,Opera Boy
Newcastle,2026-01-17T17:08,A,A,Texas Queen,Alnwick Beach,Quivers Maria
Newcastle,2026-01-17T17:24,A,A,Wraysbury Rhyme,Alnwick Souness,Rat And Cutter
Newcastle,2026-01-17T18:00,A,A,Alnwick Tina,Dakotas Renae,Classy Doll
Central Park,2026-01-17T17:30,A,A,King Pavarotti,Roanna Mamba,Cronody Zuma
Central Park,2026-01-17T17:50,A,A,Rapido Benny,Millbank Rocco,Ballyhimikin Joe
Central Park,2026-01-17T18:10,A,A,Ballymac Axel,Hasty Lottie,Watcha Gotcookin
Central Park,2026-01-17T18:30,A,A,The Other Winx,Bluejig Outlaw,Droopys Samara
Central Park,2026-01-17T18:50,A,A,Fastlane Hoffa,Pro Parker,Hollybanks
Central Park,2026-01-17T19:10,A,A,Deadly Disco,Mongys Wild,Ballymac Madgie
Central Park,2026-01-17T19:30,A,A,Princess Matilda,Crafty Prospero,Romeo Empire
Central Park,2026-01-17T19:50,A,A,Droopys Softy,Havana Esesque,Ferryforth Ella
Central Park,2026-01-17T20:10,A,A,Lets Go Johnny,Bluejig Baron,Droopys Topnotch
Central Park,2026-01-17T20:30,A,A,One More Tune,Good Rainbow,Harlequin Taluka
Central Park,2026-01-17T20:50,A,A,Yahoo Megan,Sevenofdiamonds,Cinderella Tell
Central Park,2026-01-17T21:10,A,A,Snowdon Mel,Autumn Fleadh,Droopys Bafta
Central Park,2026-01-17T21:30,A,A,Lets Go Girl,Half Jarred,Slick Skylark
Oxford,2026-01-17T18:04,A,A,Savana Ripple,Alohas Rascal,Savana Shady
Oxford,2026-01-17T18:21,A,A,All Long,Silvertown Blues,Ballymac Dashel
Oxford,2026-01-17T18:39,A,A,Pauls Opinion,Footfield Stitch,Savana Imogen
Oxford,2026-01-17T18:56,A,A,Gert Lush,Baggios Nikita,Savana Maggiemay
Oxford,2026-01-17T19:14,A,A,Bristol Lad,Ballydoyle Boo,Maree Master
Oxford,2026-01-17T19:31,A,A,Ballymac Lez,Ballymac Mags,Drews Fantasy
Oxford,2026-01-17T19:51,A,A,Savana Sparky,Savana Rip,Savanawinnimarie
Oxford,2026-01-17T20:09,A,A,Savana Marylou,Corcass Honey,Savana Monica
Oxford,2026-01-17T20:26,A,A,Ballymac Indo,Showemyourtail,Jazzy Vibe
Oxford,2026-01-17T20:43,A,A,Classic Waltz,Ma Baker,Ballymac Shelly
Oxford,2026-01-17T21:01,A,A,Mylane Curly,Spot On Amethyst,Savana Ohmy Jo
Oxford,2026-01-17T21:18,A,A,Savana Sakari,Savana Boycie,Jurassic Joker
Hove,2026-01-17T18:06,A,A,Seomra Power,Pocket Hollie,Melbury Curly
Hove,2026-01-17T18:26,A,A,Kerrs Delilah,Sly Bluebird,Jesse Gee James
Hove,2026-01-17T18:46,A,A,Pips Gamble,Punk Rock Thief,Digbys Maverick
Hove,2026-01-17T19:06,A,A,Bingo Bullet,Farmway Shady,Ballydoyle Toby
Hove,2026-01-17T19:26,A,A,Tivoli Milo,Teddys Sister,Slick Mick
Hove,2026-01-17T19:46,A,A,Swift Chuck,Daring Duchess,Fauna Rae
Hove,2026-01-17T20:06,A,A,Airlie Coogee,Galliagh Sky,Antigua Belle
Hove,2026-01-17T20:26,A,A,Hypershock,Lets Go Yankees,Barley Mo
Hove,2026-01-17T20:46,A,A,Streets Of Bono,Harlequin Windy,Romantic Richy
Hove,2026-01-17T21:06,A,A,Radical Kylian,Mertonaby Lad,Kanturk Tony
Hove,2026-01-17T21:26,A,A,Farout Cian,Attractionone,Mob De Souza
Hove,2026-01-17T21:46,A,A,Droopys Lara,Snazzy Mary,Im Justa Pealing
Doncaster,2026-01-17T18:11,A,A,Royal Flush,Emers Jazzy,Missyoulikecrazy
Doncaster,2026-01-17T18:29,A,A,Ballymac Alexis,Cockney Summer,Stoneparkfortune
Doncaster,2026-01-17T18:46,A,A,Roundies Shadow,Abigails Sunny,Grouchos Emily
Doncaster,2026-01-17T19:04,A,A,Links Gloria,The Frogs Legacy,Cockneychampagne
Doncaster,2026-01-17T19:24,A,A,Slaneyside Jan,Abigail Surprise,Ardmoulin Flyer
Doncaster,2026-01-17T19:42,A,A,Leahs Pat,Ballinabola Zoey,Grovenor Apache
Doncaster,2026-01-17T19:58,A,A,Toddys Wolf,Slaneyside Swade,Grovenor Mona
Doncaster,2026-01-17T20:16,A,A,Look Smart,Butlers Lane,Unanimous Leon
Doncaster,2026-01-17T20:34,A,A,Tiermana Blaze,Sole Focus,Ballymac Alyssa
Doncaster,2026-01-17T20:52,A,A,Haggard Badger,Bouncing Monarch,Soapy Suds
Monmore,2026-01-17T18:14,A,A,Peejaythedeejay,Droopys Jessy,Relentless I Am
Monmore,2026-01-17T18:34,A,A,Confident Ruby,Whyaye Dubai,Aero Peart
Monmore,2026-01-17T18:54,A,A,Ayle Bucks,Newinn Georgia,Aero Haraka
Monmore,2026-01-17T19:14,A,A,Aero Chubby,Holding Gina,Wilma Rudolph
Monmore,2026-01-17T19:34,A,A,Tullymurry Troy,Hitit Agendavy,Bandit Paddy
Monmore,2026-01-17T19:54,A,A,Zenith Fotospor,Tree Top Copper,Longacres Cash
Monmore,2026-01-17T20:14,A,A,Noduff Golf,Longacres Shotta,Without Wings
Monmore,2026-01-17T20:34,A,A,Duchess,Amazing Heather,Suave Lily
Monmore,2026-01-17T20:54,A,A,Photo Package,Mustang General,Winnie Marie
Monmore,2026-01-17T21:14,A,A,Droopys Admirer,Sugar Girl Katie,Vixons Matt
Monmore,2026-01-17T21:34,A,A,Cazzers Lass,Bounceback Bucks,Bangon Erika
Monmore,2026-01-17T21:50,A,A,Aero Penda,Swift Zoo,Got The Large
Dunstall Park,2026-01-17T18:20,A,A,Lemon Yoli,Point Break,Lynnia Mick
Dunstall Park,2026-01-17T18:38,A,A,Dadurunrun,Lynnia Max,Strictly Rosey
Dunstall Park,2026-01-17T18:58,A,A,Amys Star,Moanteen Molly,Swift Wag
Dunstall Park,2026-01-17T19:18,A,A,Mohican Lisa,Haka Luigi,Amazing Pixie
Dunstall Park,2026-01-17T19:38,A,A,Crokers Bic,Moneypoint Wiljo,Jab And Run
Dunstall Park,2026-01-17T19:58,A,A,Distant Maggie,Loveland,Ballymac Og
Dunstall Park,2026-01-17T20:18,A,A,Ceejay Sparkle,Shortwood Design,Ace Impact
Dunstall Park,2026-01-17T20:38,A,A,Heathmill Nidge,Signet Maisie,Cappaneale Rocky
Dunstall Park,2026-01-17T20:58,A,A,Swift Ida,Burrow Puma,Kelseys Angel
